makeid,modelid,manufacturerid,VIN,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor
474,1861,988,1HGCG1654YA0,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,2998.83271,183,2.99883271,4,,,,J30A1,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2000,MARYSVILLE,,,,Automatic,EX-V6,PASSENGER CAR,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),4,V-Shaped,1st Row (Driver and Passenger),,,,200,,UNITED STATES (USA),,OHIO,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1HGCG165*YA
467,1850,984,2GCEK13T1513,,,,Crew/Super Crew/Crew Max,Pickup,8,,5300,323.425844,5.3,4,4WD/4-Wheel Drive/4x4,,,LM7,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,Silverado,2005,OSHAWA TRUCK,,1500 (1/2 Ton),,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,CANADA,NA-Canada - Truck,ONTARIO,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Iron,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,2GCEK13T*51
478,1916,997,5N1AN08W47C5,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,4000,244.094976,4,4,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",NISSAN,"NISSAN NORTH AMERICA, INC.",Xterra,2007,SMYRNA,,,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,,,,,,,,UNITED STATES (USA),Smyrna Plant,TENNESSEE,,,,,Standard,,,,,,,,,,,,,,,Wagon body,,,,4,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5N1AN08W*7C
448,2469,1057,JTNBB46K5730,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2400,146.456986,2.4,4,4x2,,,2AZ-FXE+2JM,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",TOYOTA,TOYOTA MOTOR CORPORATION,Camry,2007,TOYOTA CITY,,ACV40L/GSV40L/AHV40L,,,,PASSENGER CAR,,,,,,,,1st Row (Driver and Passenger),,,,,,,,,In-Line,1st Row (Driver and Passenger),Electric,,Driver Seat Only,147,,JAPAN,Toyota Motor Corporation - Tsutsumi Plant,AICHI,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,,,,Strong HEV (Hybrid Electric Vehicle),,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,JTNBB46K*73
498,2773,15984,KMHCG45C24U5,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1600,97.6379906,1.6,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",HYUNDAI,HYUNDAI MOTOR CO,Accent,2004,ULSAN,,,,,,PASSENGER CAR,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,,,,,SOUTH KOREA,Hyundai Motor Company,,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Depowered air bag,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,KMHCG45C*4U
467,1851,984,1GNEV16K4LF1,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,5700,347.835341,5.7,4,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,Suburban,1990,FLINT,,1/2 Ton Nominal,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Throttle Body Fuel Injection (TBI),,,,UNITED STATES (USA),NA - Truck Platform,MICHIGAN,,,,,,,,,,,,,,,,,,,,Conventional Cab,,,,,Not Applicable,Not Applicable,,,,,,,,,,LPG conversion can be accomplished on the engine.,,,,,,,,,,6,,,CPC,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GNEV16K*LF
536,8839,984,1G2JB12T8172,,,Not Applicable,Not Applicable,Coupe,4,,2400,146.456986,2.4,2,,,,LD9,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",PONTIAC,GENERAL MOTORS LLC,Sunfire,2001,LORDSTOWN,,,,,,PASSENGER CAR,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),NA-GM Corp,OHIO,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Name Plate: Buick,,,,,,,,,,6,,,LAN,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1G2JB12T*17
476,1941,994,1B7GG22Y0WS5,,,,,Pickup,8,,5200,317.323469,5.2,2,,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",DODGE,FCA US LLC,Dakota,1998,WARREN,,,,,Sport/SLT,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,,,,,UNITED STATES (USA),Dodge City Assembly,MICHIGAN,,,,,,,,,,,,,,,,,,,,L Series,,,"Cab Type: Club Cab,",,Not Applicable,Not Applicable,,,,,,,,,,Sales Code:ELF,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1B7GG22Y*WS
3888,8491,4249,1HD1GZM37EC3,,,Not Applicable,Not Applicable,Motorcycle - Custom,2,California,1690,103.130128,1.69,,,,4,Twin CAM 103,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",HARLEY DAVIDSON,HARLEY-DAVIDSON MOTOR COMPANY,Switchback,2014,KANSAS CITY,,FLD103,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,V-Shaped,,,,,73,,UNITED STATES (USA),,MISSOURI,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,Normal Introduction,,Not Applicable,Not Applicable,,,,,Air,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,Heavyweight Motorcycle: 901cm3 or larger,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,1HD1GZM3*EC
460,1801,976,1FTRF12217KD,,,,Regular,Pickup,6,,4200,256.299725,4.2,,4x2,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",FORD,FORD MOTOR COMPANY,F-150,2007,KANSAS CITY,,F-Series,,,Styleside,TRUCK,,,Hydraulic,,,,,,,,,,,,Overhead Valve (OHV),,V-Shaped,1st Row (Driver and Passenger),,,,202,,UNITED STATES (USA),,MISSOURI,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,Sec. Gen. Air Bags,,,,,,EFI,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FTRF122*7K
483,1945,994,1C4PJMDB0FW7,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,2400,146.456986,2.4,4,4WD/4-Wheel Drive/4x4,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",JEEP,FCA US LLC,Cherokee,2015,TOLEDO,,,Left-Hand Drive (LHD),,Limited,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,UNITED STATES (USA),Toledo North Assembly,OHIO,,Manual,,,,,,,,,,,,,,,,All Rows,,,,,,,Not Applicable,Not Applicable,,,,Active Seat Belt,,,,,,"Sales Code: ED3,ED6,ED7,ED8,EDD,EDE",,,,No,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1C4PJMDB*FW
532,9706,1032,1XKDD29XXWR7,,,,MDHD: Conventional,Truck-Tractor,6,,14010.9397,855,14.0109397,,6x4,,4,NT,,,Diesel,"Class 8: 33,001 lb and above (14,969 kg and above)",KENWORTH,KENWORTH TRUCK COMPANY,T800,1998,RENTON,,,,,,TRUCK,,,Air,,,,,,,,,,,,,,,,,,,,,UNITED STATES (USA),,WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,"47,001-57,000 lbs.",,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,Cummins,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1XKDD29X*WR
509,13163,21871,JS1GR7LA0921,,,Not Applicable,Not Applicable,Motorcycle - Sport,4,,750,45.7678081,0.75,,,,4,R747-,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",SUZUKI,SUZUKI MOTOR CORPORATION,GSX-R750,2009,TOYOKAWA,,,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,,,,,,146.8,,JAPAN,,AICHI,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,JS1GR7LA*92
467,11489,984,1GBHC34J6EV1,,,,,Incomplete - Chassis Cab (Number of Cab Unknown),8,,6200,378.347213,6.2,2,4x2,,,,,,Diesel,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",CHEVROLET,GENERAL MOTORS LLC,C/K Pickup,1984,PONTIAC,,1 Ton,,,,INCOMPLETE VEHICLE,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,,,,,UNITED STATES (USA),Pontiac Assembly (Truck & Bus),MICHIGAN,,,,,,,,,,,,,,,,,,,,Conventional Cab,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,Chevrolet,,,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GBHC34J*EV
510,3197,1152,JKAZXCD1X6A0,,,Not Applicable,Not Applicable,Motorcycle - Sport,4,Worldwide,998,60.9016966,0.998,,,,4,,128.7,,,"Class 1A: 3,000 lb or less (1,360 kg or less)",KAWASAKI,"KAWASAKI MOTORS, LTD",Ninja ZX-10R,2006,AKASHI,,ZX1000-D,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,"Kawasaki Heavy Ind., LTD",HYOGO,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,JKAZXCD1*6A
452,21790,966,WBAKC8C50CC4,,,Not Applicable,Not Applicable,Sedan/Saloon,8,,4395.01056,268.2,4.4,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",BMW,BMW AG,750Lxi / ALPINA B7,2012,DINGOLFING,,7-Series,,,750Lxi / ALPINA B7 xDrive LWB (500 hp),PASSENGER CAR,,,,,,,,,,,,,Long,,,,,1st Row (Driver and Passenger),,,,400,,GERMANY,,,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Head Inflatable Restraint for Driver, Front Passenger, Rear Outboard Driver-side and Rear Outboard Passenger-side. Knee Inflatable Restraint for Driver and Front Passenger. Pretensioners for Driver and Front Passenger.",,500,,,,Engine Brake (hp) for 750Lxi = 400 Engine Brake (hp) for ALPINA B7 = 500,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,WBAKC8C5*CC
472,1857,984,1GTEC19J07Z6,,,,Extra/Super/Quad/Double/King/Extended,Pickup,8,,5300,323.425844,5.3,,4x2,,,LY5,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",GMC,GENERAL MOTORS LLC,Sierra,2007,ROANOKE,,1500 (1/2 Ton),,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),Fort Wayne Assembly,INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Active Fuel Mgt.,,,,,,,,,,6,,,GM,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GTEC19J*7Z
467,1852,984,1GNEC13VX1J2,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,4800,292.913972,4.8,4,4x2,,,LR4,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHEVROLET,GENERAL MOTORS LLC,Tahoe,2001,JANESVILLE,,1500 (1/2 Ton),,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,V-Shaped,,,Multipoint Fuel Injection (MPFI),,,,UNITED STATES (USA),GM Truck Group,WISCONSIN,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,Iron,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GNEC13V*1J
474,1861,988,1HGCR2F50DA2,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,2356,144,2.4,4,,,,K24W1,,,Gasoline,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2013,MARYSVILLE,,,,Continuously Variable Transmission (CVT),SPORT,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Dual Overhead Cam (DOHC),,In-Line,1st Row (Driver and Passenger),,,,185,,UNITED STATES (USA),,OHIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"seat belts: front, rear, rear center",Water,,,,,,,,,,,,,,,6,,,Honda,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1HGCR2F5*DA
536,8840,984,1G2NF52E6YM7,,,Not Applicable,Not Applicable,Sedan/Saloon,6,,3400,207.48073,3.4,4,,,,LA1,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",PONTIAC,GENERAL MOTORS LLC,Grand AM,2000,LANSING - NORTH PLANT,,SE1,,,,PASSENGER CAR,4,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),NA-GM Corp,MICHIGAN,,Manual,,,,,,,,,,,,,,,,,,,,,"Body Type: Sedan, 4-6 Window, Notchback (GM codes: 19, 69)",,Not Applicable,Not Applicable,,,,,Water,,,,,"Name Plate: Chevrolet, Pontiac, Oldsmobile",,,,,,,,,,6,,,LAN,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,1G2NF52E*YM
584,7832,13510,WP0AA2995XS6,,,Not Applicable,Not Applicable,Coupe,6,,3400,207.48073,3.4,2,,,,,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",PORSCHE,DR. ING. H.C.F. PORSCHE AG,911,1999,STUTTGART-ZUFFENHAUSEN,,Carrera,,,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,,296,,GERMANY,Stuttgart-Zuffenhausen,,,,,,,,,,,,,,,,,,,,,,,,"GVWR: 3,793 - 3,892 lbs",,Not Applicable,Not Applicable,,,,Restraint System: Passive,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,WP0AA299*XS
472,1857,984,1GT120C85CF1,,,,Crew/Super Crew/Crew Max,Pickup,8,,6600,402.756711,6.6,4,4WD/4-Wheel Drive/4x4,,,LML,,,Diesel,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",GMC,GENERAL MOTORS LLC,Sierra,2012,FLINT,,2500,,,SLE,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,Common Rail Direct Injection Diesel (CRDI),,,,UNITED STATES (USA),GMNA,MICHIGAN,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,Yes,,,,,,6,,,DURAMAX,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1GT120C8*CF
510,3202,1152,JKAVN2B176A0,,,Not Applicable,Not Applicable,Motorcycle - Cruiser,2,Worldwide,903,55.1044409,0.903,,,,4,,40,,,"Class 1A: 3,000 lb or less (1,360 kg or less)",KAWASAKI,"KAWASAKI MOTORS, LTD",Vulcan 900,2006,AKASHI,,VN900-B,,,Classic,MOTORCYCLE,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,"Kawasaki Heavy Ind., LTD",HYOGO,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,JKAVN2B1*6A
474,1863,990,2HGFB2F58EH5,,,Not Applicable,Not Applicable,Sedan/Saloon,4,,1802.57704,110,1.80257704,4,,,,R18Z1,,,Gasoline,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",HONDA,"HONDA OF CANADA MFG., INC.",Civic,2014,ALLISTON,,,,Continuously Variable Transmission (CVT),LX,PASSENGER CAR,,,,,,,,1st Row (Driver and Passenger),,,,,,,Single Overhead Cam (SOHC),,In-Line,1st Row (Driver and Passenger),,,,143,,CANADA,,ONTARIO,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",6 - Incomplete VIN,,,,,2HGFB2F5*EH
448,2216,1057,JT3GN87R6W00,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,3378,207.48073,3.4,4,4x2,,,5VZ-FE,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",TOYOTA,TOYOTA MOTOR CORPORATION,4-Runner,1998,TAHARA,,RZN180L/VZN180L/RZN185L/VZN185L,,,Grade: Luxury,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,V-Shaped,,,,,183,,JAPAN,Toyota Motor Corporation,AICHI,,,,,,,,,,,,,,,,,,,,Wagon body style,,,,,Not Applicable,Not Applicable,,,,,Water,190,,,,,,,,,,,,,,6,,,Toyota,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,JT3GN87R*W0
460,1817,976,1FTNE24W09DA,,,,,Cargo Van,8,,4600,280.709223,4.6,,4x2,,,,,,Gasoline,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",FORD,FORD MOTOR COMPANY,E-250,2009,AVON LAKE,,Econoline,,,,TRUCK,,,Hydraulic,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,225,,UNITED STATES (USA),Ohio Assebly Plant,OHIO,,Manual,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,2V,,,,,,,,,,6,,,Ford,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1FTNE24W*9D
474,14794,987,JH2AF0605FS1,,,Not Applicable,Not Applicable,Motorcycle - Scooter,1,,49,2.99016346,0.049,,,,,,,,Gasoline,"Class 1A: 3,000 lb or less (1,360 kg or less)",HONDA,"HONDA MOTOR CO., LTD.",NQ50,1985,SASUKA,,,,,,MOTORCYCLE,,,,,,,,,,,,,,,,,,,,,,3.8,,JAPAN,,,,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,Not Applicable,,,,,,,,6 - Incomplete VIN,,,,,JH2AF060*FS
526,24559,1028,1HSHWAHN85J1,,,,MDHD: Conventional,Truck-Tractor,,,10815.4622,660,10.8154622,,4x2,,,Cummins ISM,,,Diesel,"Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg)",INTERNATIONAL,"NAVISTAR, INC.",8600,2005,GARLAND,,,,,,TRUCK,,,Air,,,,,,,,,,,,,,,,,,,,,UNITED STATES (USA),,TEXAS,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,6,,SBA - Set-Back Axle,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,1HSHWAHN*5J
477,1936,995,2A4RR8DGXBR7,,,,,Minivan,6,,3600,219.685479,3.6,4,FWD/Front-Wheel Drive,,,ERB,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CHRYSLER,FCA CANADA INC.,Town and Country,2011,WINDSOR,,RT,Left-Hand Drive (LHD),,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,CANADA,Windsor Assembly,ONTARIO,Yes,Manual,,,,,,,,,,,,,,,,All Rows,R (Race),,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,No,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,2A4RR8DG*BR
